SpaceID,EventTime_UTC,OccupancyState
CB3962A,07/23/2019 05:21:37 PM,OCCUPIED
CB2240,07/23/2019 05:21:37 PM,VACANT
CB3094,07/23/2019 05:21:37 PM,OCCUPIED
ED670,07/23/2019 05:21:36 PM,VACANT
CT375,07/23/2019 05:21:36 PM,VACANT
HO692,07/23/2019 05:21:35 PM,VACANT
WP172,07/23/2019 05:21:35 PM,OCCUPIED
CB1430,07/23/2019 05:21:35 PM,OCCUPIED
CB3814,07/23/2019 05:21:34 PM,OCCUPIED
CB3938,07/23/2019 05:21:34 PM,OCCUPIED
CT100,07/23/2019 05:21:34 PM,OCCUPIED
CT311,07/23/2019 05:21:34 PM,OCCUPIED
CB3963,07/23/2019 05:21:34 PM,OCCUPIED
61436,07/23/2019 05:21:32 PM,OCCUPIED
ED672,07/23/2019 05:21:31 PM,VACANT
CB2202,07/23/2019 05:21:30 PM,VACANT
HO460,07/23/2019 05:21:30 PM,OCCUPIED
CT215,07/23/2019 05:21:30 PM,OCCUPIED
HO273,07/23/2019 05:21:30 PM,OCCUPIED
ED227,07/23/2019 05:21:30 PM,OCCUPIED
LZ108,07/23/2019 05:21:30 PM,OCCUPIED
CC634,07/23/2019 05:21:29 PM,OCCUPIED
HO288A,07/23/2019 05:21:29 PM,OCCUPIED
CB712,07/23/2019 05:21:29 PM,OCCUPIED
61461,07/23/2019 05:21:28 PM,VACANT
HO957,07/23/2019 05:21:28 PM,OCCUPIED
CB28,07/23/2019 05:21:27 PM,OCCUPIED
HO487A,07/23/2019 05:21:26 PM,OCCUPIED
CB672,07/23/2019 05:21:26 PM,VACANT
CB2429,07/23/2019 05:21:25 PM,VACANT
CB80,07/23/2019 05:21:25 PM,OCCUPIED
CT33,07/23/2019 05:21:25 PM,VACANT
CT369,07/23/2019 05:21:25 PM,OCCUPIED
CT488,07/23/2019 05:21:24 PM,VACANT
HO39,07/23/2019 05:21:23 PM,OCCUPIED
WV228,07/23/2019 05:21:23 PM,OCCUPIED
HO212,07/23/2019 05:21:22 PM,VACANT
82807,07/23/2019 05:21:20 PM,OCCUPIED
WV17,07/23/2019 05:21:20 PM,OCCUPIED
WV581,07/23/2019 05:21:20 PM,VACANT
CB824,07/23/2019 05:21:20 PM,OCCUPIED
ED675,07/23/2019 05:21:20 PM,VACANT
CB1631,07/23/2019 05:21:19 PM,VACANT
HO934A,07/23/2019 05:21:19 PM,OCCUPIED
CT203,07/23/2019 05:21:18 PM,VACANT
ED249,07/23/2019 05:21:18 PM,VACANT
CB226,07/23/2019 05:21:18 PM,VACANT
ED669,07/23/2019 05:21:17 PM,VACANT
HO47,07/23/2019 05:21:16 PM,VACANT
66447,07/23/2019 05:21:16 PM,OCCUPIED
CB763,07/23/2019 05:21:16 PM,OCCUPIED
HO1071,07/23/2019 05:21:13 PM,OCCUPIED
CB3064,07/23/2019 05:21:13 PM,VACANT
ED205,07/23/2019 05:21:11 PM,OCCUPIED
LT297,07/23/2019 05:21:10 PM,OCCUPIED
HO196A,07/23/2019 05:21:10 PM,VACANT
SV95,07/23/2019 05:21:09 PM,OCCUPIED
CC1519,07/23/2019 05:21:09 PM,OCCUPIED
LT575,07/23/2019 05:21:09 PM,OCCUPIED
66131,07/23/2019 05:21:07 PM,OCCUPIED
CB2688,07/23/2019 05:21:07 PM,VACANT
CB4489,07/23/2019 05:21:06 PM,OCCUPIED
CB982,07/23/2019 05:21:05 PM,OCCUPIED
CC1427,07/23/2019 05:21:04 PM,OCCUPIED
LT389,07/23/2019 05:21:04 PM,VACANT
SV178,07/23/2019 05:21:04 PM,OCCUPIED
LT251,07/23/2019 05:21:03 PM,VACANT
SV143,07/23/2019 05:21:03 PM,VACANT
SV752A,07/23/2019 05:21:02 PM,OCCUPIED
CB3622,07/23/2019 05:21:02 PM,OCCUPIED
CB1182,07/23/2019 05:21:02 PM,VACANT
CB546,07/23/2019 05:21:01 PM,OCCUPIED
HO181A,07/23/2019 05:21:01 PM,VACANT
CB3548,07/23/2019 05:21:00 PM,VACANT
HO41,07/23/2019 05:20:59 PM,OCCUPIED
CB1546,07/23/2019 05:20:59 PM,OCCUPIED
CT556,07/23/2019 05:20:56 PM,OCCUPIED
CT4,07/23/2019 05:20:56 PM,OCCUPIED
82702,07/23/2019 05:20:55 PM,OCCUPIED
CC1309,07/23/2019 05:20:55 PM,VACANT
CT394,07/23/2019 05:20:54 PM,OCCUPIED
CT401,07/23/2019 05:20:54 PM,VACANT
CB3937,07/23/2019 05:20:52 PM,OCCUPIED
CB1794,07/23/2019 05:20:51 PM,OCCUPIED
SV93,07/23/2019 05:20:51 PM,VACANT
CT557,07/23/2019 05:20:50 PM,VACANT
CB1674,07/23/2019 05:20:50 PM,OCCUPIED
66295,07/23/2019 05:20:49 PM,OCCUPIED
ED226,07/23/2019 05:20:49 PM,VACANT
HO1,07/23/2019 05:20:49 PM,VACANT
66342,07/23/2019 05:20:47 PM,VACANT
ED401,07/23/2019 05:20:46 PM,VACANT
HO450A,07/23/2019 05:20:46 PM,OCCUPIED
CC1222,07/23/2019 05:20:46 PM,VACANT
CB3932,07/23/2019 05:20:46 PM,OCCUPIED
CB652,07/23/2019 05:20:45 PM,OCCUPIED
CB2411,07/23/2019 05:20:45 PM,VACANT
ED642,07/23/2019 05:20:45 PM,OCCUPIED
CB2306A,07/23/2019 05:20:45 PM,VACANT
ED394,07/23/2019 05:20:44 PM,VACANT
CT34,07/23/2019 05:20:44 PM,VACANT
CB58,07/23/2019 05:20:44 PM,VACANT
HO208,07/23/2019 05:20:42 PM,VACANT
CB3016A,07/23/2019 05:20:42 PM,OCCUPIED
ED597A,07/23/2019 05:20:42 PM,VACANT
CB907,07/23/2019 05:20:41 PM,OCCUPIED
WV350,07/23/2019 05:20:41 PM,OCCUPIED
